fk_idTečaja,fk_idOglasa,CTR_specific,Impression_specific,Clicks_specific,CPC_specific (EUR),CPM_specific (EUR)
1,1,"0,0215",30.232,650,"0,85","18,27"
1,2,"0,0125",8.800,110,"2,1","26,25"
2,1,"0,018",19.444,350,"1,1","19,8"
2,2,"0,009",5.556,50,"2,9","26,1"
3,1,"0,019",23.684,450,"0,95","18,05"
3,2,"0,0105",6.667,70,"2,4","25,2"
4,1,"0,0245",32.653,800,"0,78","19,11"
4,2,"0,014",9.286,130,"1,95","27,3"
5,1,"0,0175",17.143,300,"1,15","20,12"
5,2,"0,0095",4.737,45,"2,8","26,6"
6,1,"0,023",32.609,750,"0,82","18,86"
6,2,"0,0135",8.889,120,"2,05","27,67"
7,1,"0,0205",26.829,550,"0,9","18,45"
7,2,"0,0115",6.957,80,"2,3","26,45"
8,1,"0,0255",33.333,850,"0,75","19,12"
8,2,"0,015",9.333,140,"1,85","27,75"
9,1,"0,0185",21.622,400,"1,05","19,42"
9,2,"0,01",6.000,60,"2,6",26
10,1,"0,0145",17.241,250,"1,3","18,85"
10,2,"0,0085",4.706,40,"3,1","26,35"
11,1,"0,0125",12.000,150,"1,5","18,75"
11,2,"0,0075",2.933,22,"3,8","28,5"
