Ime;Starostna skupina doli;Starostna skupina zgoraj;Cena;Stevilo_udelezencev;Stopnja
Prvi Koraki v programiranje (Scratch);7;9;240;12;1
Koderska 2d/3D pustolovščina;7;9;240;12;2
Postani mojster programiranja v Scratchu;10;12;240;12;1
Minecraft kreativni studio in umetna inteligenca v Scratchu;10;12;240;12;2
Mojster mobilnih aplikacij in iger: Ustvari svojo mobilno igro z AppInventorjem;10;12;240;12;3
Python raziskovalec Minecrafta: osnove programiranja s programskim jezikom Python v Minecraft EE;10;12;240;12;4
Oblikuj svojo prvo spletno stran, uporabi HTML, CSS in Java Script;13;13;240;12;0
Orodja umetne inteligence (AI/UI) v praksi;13;13;240;12;0
Kodiraj svojo prihodnost: Uvod v programiranje s programskim jezikom Python;13;13;240;12;1
Programerski mastermind: Osvoji principe objektnega programiranja v Pythonu;13;13;240;12;2
Python Art Lab: 2D grafika, animacije, podatkovne strukture in algoritmi;13;13;240;12;3
